activityType,Date,Title,Distance,Time,AvgHR,MaxHR,AvgRunCadence,MaxRunCadence,AvgPace,BestPace,MaxAvgPower,AvgPower,MaxPower,TotalStrokes,AvgSwolf,AvgStrokeRate,BestLapTime,NumberLaps
Cycling,2013-07-14 09:52:19,Untitled,20.57,00:40:37,153,171,0,0,30.4,43.4,--,0,0,--,0,0,00:00.00,--
Cycling,2013-07-22 07:59:45,Untitled,79.00,02:54:33,140,166,0,0,27.2,56.3,--,0,0,--,0,0,00:00.00,--
Cycling,2013-08-03 08:17:01,Untitled,45.78,01:38:17,153,179,0,0,27.9,47.2,--,0,0,--,0,0,00:00.00,--
Cycling,2018-05-27 22:24:37,Indoor trainer,24.14,00:45:00,0,0,0,0,32.2,--,--,0,0,--,0,0,00:00.00,1
Cycling,2018-07-30 13:27:15,Winnipeg Running,38.65,01:14:05,0,0,122,220,31.3,47.5,--,0,0,--,0,0,00:00.00,25
Cycling,2018-08-02 18:40:18,Winnipeg Running,36.49,01:03:31,0,0,122,248,34.5,51.3,--,0,0,--,0,0,00:00.00,23
Cycling,2018-08-04 14:59:45,Winnipeg Running,31.39,00:54:00,0,0,120,220,34.9,48.5,--,0,0,--,0,0,00:00.00,20
Cycling,2019-02-11 09:37:38,Cycling,0.00,00:21:46,154,176,0,0,--,--,--,0,0,--,0,0,00:00.00,1
Cycling,2019-02-13 09:30:20,Cycling,0.00,01:03:51,140,188,0,0,--,--,--,0,0,--,0,0,00:00.00,1
Cycling,2019-04-17 13:44:58,Winnipeg Cycling,34.51,01:07:51,138,173,0,0,30.5,43.9,--,0,0,--,0,0,07:53.05.4,7
Cycling,2019-05-08 14:14:40,Winnipeg Cycling,20.27,00:36:20,139,162,0,0,33.5,41.6,--,0,0,--,0,0,00:32.67.8,5
Cycling,2019-05-11 15:38:42,Winnipeg Cycling,28.59,00:56:08,137,155,0,0,30.6,56.7,--,0,0,--,0,0,05:24.95.4,6
Cycling,2019-05-13 09:22:22,Winnipeg Cycling,32.51,00:55:10,147,172,0,0,35.4,47.6,--,0,0,--,0,0,04:10.45.5,7
Cycling,2019-05-19 15:32:04,Winnipeg Cycling,29.20,00:51:40,79,130,0,0,33.9,50.6,--,0,0,--,0,0,07:29.37.3,6
Cycling,2019-05-30 11:44:29,Winnipeg Cycling,37.54,01:01:20,149,174,0,0,36.7,51.1,--,0,0,--,0,0,04:29.25.9,8
Cycling,2019-06-04 10:28:02,Winnipeg Cycling,18.11,00:32:54,137,165,0,0,33.0,42.1,--,0,0,--,0,0,06:25.02.2,4
Cycling,2019-06-12 10:17:09,De Salaberry Cycling,39.70,01:25:09,118,160,0,0,28.0,40.5,--,0,0,--,0,0,09:54.67.7,8
Cycling,2019-06-20 11:09:15,Winnipeg Cycling,40.03,01:13:46,130,161,0,0,32.6,44.1,--,0,0,--,0,0,00:03.44.6,9
Cycling,2019-06-28 15:50:33,Cycling,24.45,00:41:50,152,167,0,0,35.1,41.9,--,0,0,--,0,0,07:46.63.1,5
Cycling,2019-07-01 10:49:17,Winnipeg Cycling,33.62,01:02:24,140,168,0,0,32.3,43.3,--,0,0,--,0,0,06:08.45.5,7
Cycling,2019-07-10 09:33:00,Winnipeg Cycling,33.47,01:04:23,138,160,0,0,31.2,44.5,--,0,0,--,0,0,07:28.96,7
Cycling,2019-07-28 11:00:15,Winnipeg Cycling,31.27,00:58:22,138,162,0,0,32.1,51.9,--,0,0,--,0,0,02:30.00,7
Cycling,2019-08-09 15:00:12,Winnipeg Cycling,41.31,01:13:43,145,169,0,0,33.6,44.2,--,0,0,--,0,0,02:18.94.4,9
Cycling,2019-08-19 09:17:33,Winnipeg Cycling,30.06,00:54:10,144,169,0,0,33.3,44.6,--,0,0,--,0,0,00:06.56.3,7
Cycling,2019-11-04 21:36:39,Winnipeg Cycling,1.73,00:25:01,134,176,0,0,4.2,11.2,--,0,0,--,0,0,00:00.00,1
Cycling,2020-02-02 13:00:29,Manitoba Cycling,8.73,01:30:01,127,155,0,0,5.8,17.0,--,0,0,--,0,0,33:32.82.9,2
Cycling,2020-03-17 11:26:24,Winnipeg Cycling,5.45,01:56:17,114,143,0,0,2.8,21.3,--,0,0,--,0,0,17:28.93.5,2
Cycling,2020-04-22 13:10:34,Winnipeg Cycling,32.45,00:59:02,144,172,0,0,33.0,47.4,--,0,0,--,0,0,05:04.89.5,7
Cycling,2020-04-24 16:41:08,Winnipeg Cycling,34.08,01:04:19,124,169,0,0,31.8,46.5,--,0,0,--,0,0,08:00.07.5,7
Cycling,2020-04-30 09:48:08,Winnipeg Cycling,47.44,01:30:38,134,175,0,0,31.4,51.3,--,0,0,--,0,0,03:44.59.1,10
Cycling,2020-05-09 13:50:07,Winnipeg Cycling,11.27,00:19:21,117,153,0,0,35.0,45.7,--,0,0,--,0,0,02:12.61.5,3
Cycling,2020-05-18 13:15:24,Winnipeg Cycling,49.94,01:32:16,146,166,0,0,32.5,52.1,--,0,0,--,0,0,08:07.75.3,10
Cycling,2020-05-23 07:32:06,St Andrews Cycling,55.55,01:57:12,121,167,0,0,28.4,42.8,--,0,0,--,0,0,01:10.46,12
